"","SpeciesName","LifeSpan","BiogeographicRange","MaturityAge","DepthRange","envpos","biozone","Habit","feedingmethod","Sociability","FertilizationType","ReprodFreq","Migratory"
"20","Hippocampus hippocampus","3-5 years",NA,"< 1 year","Sublittoral to 77 m",NA,"Upper Eulittoral (4)","Free living",NA,"Solitary","Internal","Annual episodic","Non-migratory / Resident"
"21","Crangon crangon","3-5 years",NA,"< 1 year",NA,NA,NA,"Free living",NA,"Solitary",NA,"Biannual protracted",NA
"22","Alcyonidium diaphanum","6-10 years",NA,"1 year","Extreme low water to 100m","Epifaunal (1)",NA,"Attached",NA,"Colonial",NA,"Annual episodic","Non-migratory / Resident"
"23","Inachus dorsettensis",NA,NA,NA,"To at least 300 m depth (Ingle, 1997).","Epibenthic (19)",NA,"Free living","Omnivore (8)","Solitary",NA,"Annual episodic",NA
"24","Macropodia tenuirostris","3-5 years",NA,NA,"Shallow water to 300 m","Epibenthic (19)",NA,"Free living","Omnivore (8)","Solitary",NA,NA,NA
"25","Ophiura albida","3-5 years",NA,NA,"4 - 850 m","Epibenthic (19)",NA,"Free living","Passive suspension feeder (3)","Solitary",NA," ",NA
"26","Adamsia carciniopados","6-10 years","Temperate to warm temperate.","1-2 years",NA,NA,"Mid Eulittoral (5)","Attached",NA,"Solitary","External","Annual episodic","Non-migratory / Resident"
"27","Pagurus bernhardus","6-10 years","Temperate.","1 year","From MTL to 140 m, seldom down to 500 m",NA,"Mid Eulittoral (5)","Free living",NA,"Solitary","Internal","Annual episodic","Non-migratory / Resident"
"28","Liocarcinus holsatus","6-10 years","Temperate to warm temperate.","1 year","6 - 350 m",NA,"Lower Eulittoral (6)","Free living",NA,"Solitary","Internal","Annual episodic","Seasonal (environment)"
"29","Necora puber","6-10 years",NA,"1 year",NA,NA,NA,"Free living",NA,"Solitary",NA,"Annual episodic",NA
"30","Aequipecten opercularis","6-10 years",NA,"1 year",NA,NA,NA,"Free living",NA,"Solitary",NA,"Annual episodic",NA
"31","Buccinum undatum","11-20 years",NA,"6-10 years",NA,NA,NA,"Free living",NA,"Solitary",NA,"Annual protracted",NA
"32","Ophiura ophiura","6-10 years","Temperate to warm temperate.","1-2 years",NA,NA,"Sublittoral Fringe (7)","Free living",NA,"Solitary","External","Annual protracted","Non-migratory / Resident"
"33","Crossaster papposus","11-20 years",NA,"3-5 years",NA,NA,NA,"Free living",NA,"Solitary",NA,"Annual protracted",NA
"34","Pollachius pollachius","11-20 years","Cold temperate to warm temperate.","3-5 years","From 10 m to 200 m depth.",NA,"Sublittoral Fringe (7)","Free living",NA,"Solitary","External","Annual episodic","Seasonal (environment)"
"35","Trisopterus luscus","3-5 years","Cold temperate to warm temperate.","1-2 years","From 30 m to 100 m depth.",NA,"Upper Circalittoral (10)","Free living",NA,"Gregarious","External","Annual episodic","Seasonal (reproduction)"
"36","Trisopterus minutus","3-5 years","Temperate to warm temperate.","1 year","From 15 m to 200 m depth.",NA,"Upper Infralittoral (8)","Free living",NA,"Gregarious","External","Annual episodic","Seasonal (reproduction)"
"37","Ctenolabrus rupestris","6-10 years","Temperate to warm temperate.","3-5 years","From 1 m to 50 m depth.",NA,"Lower Eulittoral (6)","Free living",NA,"Solitary","External","Annual episodic","Non-migratory / Resident"
"38","Labrus bergylta","21-100 years","Temperate.","6-10 years","From 10 m to 30 m depth.",NA,"Sublittoral Fringe (7)","Free living",NA,"Solitary","External","Annual episodic","Non-migratory / Resident"
"39","Callionymus lyra","6-10 years","Temperate to Arid.","1-2 years","From 5 m to 200 m depth.",NA,"Sublittoral Fringe (7)","Free living",NA,"Solitary","External","Annual episodic","Non-migratory / Resident"
"40","Pleuronectes platessa","21-100 years","Cold temperate to temperate.","3-5 years","From 5 m to 200 m depth.",NA,"Sublittoral Fringe (7)","Free living",NA,"Solitary","External","Annual episodic","Seasonal (reproduction)"
"41","Homarus gammarus","11-20 years","Temperate to warm temperate.","6-10 years","LWST to 60 m.",NA,"Circalittoral Offshore (17)","Free living",NA,"Solitary","External","Annual protracted","Seasonal (reproduction)"
"42","Eurynome aspera",NA,NA,NA,"2 - 120 m",NA,NA,NA,NA,NA,NA," ",NA
"43","Hyas coarctatus",NA,NA,NA,"0 - 500 m",NA,NA,NA,"Predator (22)",NA,NA," ",NA
"44","Liocarcinus pusillus",NA,NA,NA,"0 - 100 m",NA,NA,NA,NA,NA,NA," ",NA
"45","Upogebia deltaura",NA,NA,NA,"0 - 40 m",NA,NA,NA,"Passive suspension feeder (3)","Solitary",NA," ",NA
"46","Inachus phalangium","1-2 years",NA,"< 1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA
