"","Species","Distrib","NorthernLatitude","SouthernLatitude","WesternLongitude","EasternLongitude","LifeSpan","DemersPelag","DepthShallow","DepthDeep","Migratory","FertilizationType","SpawningFreq","FoodTroph","SpawningGround","Spawningarea","MaturityAge","MaturityLocality"
"40","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"41","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"42","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"43","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"44","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"45","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"46","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"47","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"48","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"49","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"50","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"51","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"52","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"53","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"54","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"55","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"56","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"57","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"58","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"59","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"60","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"61","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"62","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"63","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"64","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"65","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"66","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"67","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"68","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"69","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"70","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"71","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"72","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"73","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"74","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"75","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"76","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"77","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"78","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"79","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"80","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"81","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"82","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"83","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"84","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"85","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"86","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"87","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"88","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"89","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"90","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"91","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"92","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"93","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"94","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"95","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"96","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"97","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"98","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"99","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"100","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"101","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"102","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"103","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"104","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"105","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"106","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"107","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"108","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"109","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"110","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"111","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"112","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"113","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"114","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"115","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"116","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"117","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"118","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"119","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"120","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"121","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"122","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"123","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"124","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"125","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"126","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"127","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"128","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"129","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"130","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"131","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
