RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,AreaType,AreaCode,LngtCode,LngtClass,Sex,Maturity,PlusGr,AgeRings,NoAtLngt,IndWgt,ValidAphiaID,ScientificName_WoRMS,DateofCalculation
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126438,0,31F1,1,30,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126438,0,31F1,1,33,-9,-9,-9,2,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126438,0,31F1,1,34,-9,-9,-9,3,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126438,0,31F1,1,35,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126986,0,31F1,1,20,M,63,-9,1,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126986,0,31F1,1,22,M,63,-9,1,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126986,0,31F1,1,23,M,63,-9,1,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126436,0,31F1,1,42,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126436,0,31F1,1,44,-9,-9,-9,1,2,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06010,10,2006,W,126986,0,31F1,1,26,F,62,-9,2,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126986,0,31F1,1,13,F,61,-9,0,2,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126986,0,31F1,1,14,F,62,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126986,0,31F1,1,15,F,62,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06007,7,2006,W,126436,0,31F1,1,46,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126436,0,31F1,1,33,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126436,0,31F1,1,40,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126436,0,31F1,1,41,-9,-9,-9,1,2,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126436,0,31F1,1,62,-9,-9,-9,2,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06008,8,2006,W,126436,0,31F1,1,36,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126438,0,31F1,1,38,-9,-9,-9,3,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06007,7,2006,W,126436,0,31F1,1,33,-9,-9,-9,1,2,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06007,7,2006,W,126436,0,31F1,1,34,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06007,7,2006,W,126436,0,31F1,1,35,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06007,7,2006,W,126436,0,31F1,1,36,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06007,7,2006,W,126436,0,31F1,1,42,-9,-9,-9,1,2,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06004,4,2006,W,126438,0,31F2,1,16,-9,-9,-9,0,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06004,4,2006,W,126986,0,31F2,1,10,-9,-9,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06004,4,2006,W,126986,0,31F2,1,13,-9,-9,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06005,5,2006,W,126986,0,31F2,1,10,-9,-9,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06006,6,2006,W,126986,0,31F2,1,11,F,61,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06106,106,2006,W,126436,0,28E8,1,45,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06106,106,2006,W,126436,0,28E8,1,52,-9,-9,-9,1,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06106,106,2006,W,126436,0,28E8,1,64,-9,-9,-9,2,2,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06106,106,2006,W,126436,0,28E8,1,71,-9,-9,-9,2,1,-9.0000,126436,Gadus morhua,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06100,100,2006,W,126986,0,28E8,1,8,-9,-9,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06100,100,2006,W,126986,0,28E8,1,9,-9,-9,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,22,-9,-9,-9,0,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,28,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,29,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,30,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,31,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,22,-9,-9,-9,0,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,28,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,30,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,31,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,32,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,33,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,20,M,63,-9,1,2,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,25,M,63,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,25,M,62,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,25,F,62,-9,1,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,25,F,62,-9,2,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,25,F,62,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,29,F,62,-9,2,2,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,26,M,63,-9,2,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,26,F,62,-9,2,2,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,27,M,63,-9,3,2,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,27,F,62,-9,2,3,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,28,F,62,-9,2,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06038,38,2006,W,126986,0,28F1,1,28,F,62,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,20,-9,-9,-9,0,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,23,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,24,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,25,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,31,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,31,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06048,48,2006,W,126986,0,30E9,1,35,F,62,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,31,-9,-9,-9,3,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,32,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06047,47,2006,W,126438,0,30E9,1,33,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06045,45,2006,W,126438,0,30E9,1,33,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06045,45,2006,W,126438,0,30E9,1,36,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06045,45,2006,W,126438,0,30E9,1,38,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06018,18,2006,W,126438,0,30F0,1,26,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,25,-9,-9,-9,1,8,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,26,-9,-9,-9,1,4,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,27,-9,-9,-9,1,7,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,27,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,28,-9,-9,-9,1,3,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,28,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,20,-9,-9,-9,0,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,20,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,21,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,22,-9,-9,-9,1,3,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,23,-9,-9,-9,1,6,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06025,25,2006,W,126438,0,30F0,1,24,-9,-9,-9,1,5,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,26,-9,-9,-9,1,8,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,27,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,28,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,29,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,31,-9,-9,-9,2,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,32,-9,-9,-9,2,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,17,-9,-9,-9,0,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,21,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,22,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,23,-9,-9,-9,1,5,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,24,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06015,15,2006,W,126438,0,30F0,1,25,-9,-9,-9,1,8,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,32,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,33,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,33,-9,-9,-9,2,3,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,36,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,37,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,38,-9,-9,-9,3,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,27,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,28,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,29,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,30,-9,-9,-9,1,3,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06014,14,2006,W,126438,0,30F0,1,30,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
